WORD,COUNT
the,4066.0
and,2969.0
of,2746.0
I,2719.0
to,2144.0
my,1631.0
a,1394.0
"""",1186.0
in,1129.0
was,994.0
that,986.0
with,700.0
had,679.0
which,547.0
but,541.0
me,529.0
not,505.0
his,500.0
as,486.0
for,485.0
by,468.0
you,455.0
he,448.0
on,435.0
from,387.0
it,372.0
have,362.0
be,357.0
this,337.0
is,318.0
her,313.0
at,302.0
were,298.0
The,268.0
when,262.0
your,246.0
or,238.0
an,213.0
so,197.0
will,193.0
all,190.0
could,188.0
are,187.0
been,182.0
would,177.0
one,175.0
their,174.0
she,172.0
they,168.0
if,157.0
no,154.0
should,154.0
who,153.0
more,150.0
me,
him,147.0
some,136.0
these,133.0
now,130.0
But,128.0
He,126.0
before,125.0
upon,125.0
into,124.0
its,123.0
we,122.0
our,122.0
only,121.0
My,120.0
any,115.0
am,114.0
than,112.0
did,112.0
yet,109.0
may,107.0
might,107.0
me,107.0
myself,105.0
every,103.0
first,102.0
do,101.0
shall,100.0
can,98.0
own,96.0
towards,93.0
what,92.0
most,91.0
saw,91.0
those,88.0
It,88.0
other,85.0
even,82.0
whom,81.0
then,81.0
found,80.0
Project,79.0
where,79.0
such,77.0
them,76.0
man,76.0
time,75.0
very,73.0
being,73.0
father,73.0
must,72.0
felt,72.0
I,71.0
This,70.0
said,68.0
She,68.0
many,66.0
made,66.0
up,65.0
life,65.0
thought,65.0
You,64.0
has,63.0
again,63.0
eyes,63.0
still,63.0
dear,62.0
same,62.0
never,60.0
mind,60.0
became,60.0
few,60.0
passed,59.0
also,58.0
like,58.0
while,58.0
ever,57.0
feelings,57.0
heard,56.0
We,56.0
soon,56.0
over,55.0
how,55.0
after,55.0
night,55.0
day,54.0
human,54.0
little,53.0
about,53.0
work,53.0
miserable,53.0
Gutenbergtm,53.0
appeared,52.0
me,52.0
there,51.0
cannot,50.0
whose,50.0
see,50.0
during,49.0
among,49.0
until,49.0
although,49.0
If,48.0
Chapter,48.0
old,48.0
In,47.0
When,47.0
you,
place,46.0
often,45.0
long,45.0
heart,44.0
great,44.0
several,44.0
A,44.0
much,43.0
him,
Elizabeth,43.0
through,42.0
death,41.0
love,41.0
words,41.0
feel,40.0
indeed,40.0
new,40.0
it,40.0
almost,39.0
know,39.0
As,39.0
far,38.0
sun,38.0
part,38.0
away,37.0
without,37.0
return,37.0
days,37.0
came,37.0
Felix,37.0
sometimes,36.0
seemed,36.0
took,36.0
near,35.0
possessed,35.0
make,35.0
thus,35.0
left,35.0
another,35.0
They,34.0
poor,34.0
I,
us,34.0
scene,34.0
it,
already,33.0
well,33.0
taken,33.0
out,33.0
His,33.0
Clerval,33.0
become,32.0
What,32.0
power,32.0
whole,32.0
two,32.0
within,32.0
said,
hope,32.0
light,32.0
idea,32.0
months,31.0
And,31.0
voice,31.0
down,31.0
friend,
nor,31.0
remained,31.0
gave,31.0
last,30.0
gentle,30.0
happiness,30.0
nearly,30.0
beheld,30.0
knew,30.0
friends,30.0
works,30.0
under,29.0
discovered,29.0
joy,29.0
years,29.0
Yet,29.0
men,29.0
too,29.0
come,29.0
cause,29.0
around,29.0
looked,29.0
moment,29.0
native,28.0
present,28.0
thoughts,28.0
kind,28.0
strange,28.0
brought,28.0
nature,28.0
each,28.0
thousand,27.0
read,27.0
various,27.0
resolved,27.0
greatest,27.0
placed,27.0
How,27.0
affection,27.0
creature,27.0
misery,27.0
entered,27.0
The,27.0
hardly,27.0
Justine,27.0
electronic,27.0
young,26.0
once,26.0
lost,26.0
hours,26.0
state,26.0
spirit,26.0
therefore,
endeavoured,26.0
lovely,26.0
them,
forth,26.0
full,26.0
father,
world,25.0
soul,25.0
since,25.0
quickly,25.0
think,25.0
greater,25.0
At,25.0
change,25.0
countenance,25.0
concerning,25.0
length,25.0
beautiful,25.0
horror,25.0
terms,24.0
fear,24.0
began,24.0
nothing,24.0
good,24.0
turned,24.0
occupied,24.0
perceived,24.0
rather,24.0
loved,24.0
her,
lay,24.0
man,
sat,24.0
called,24.0
alone,24.0
eyes,
fellow,24.0
expressed,24.0
believe,24.0
continued,24.0
means,24.0
desired,24.0
always,24.0
cottage,24.0
give,23.0
here,23.0
spent,23.0
himself,23.0
appearance,23.0
seek,23.0
For,23.0
filled,23.0
natural,23.0
journey,23.0
wish,23.0
Gutenberg,22.0
country,22.0
arrived,22.0
and,
friend,22.0
quitted,22.0
returned,22.0
however,
beloved,22.0
suddenly,22.0
dark,22.0
air,22.0
knowledge,22.0
hands,22.0
despair,22.0
sweet,22.0
M,22.0
destroy,22.0
fiend,22.0
cold,21.0
remain,21.0
desire,21.0
find,21.0
person,21.0
him,21.0
having,21.0
fixed,21.0
ice,21.0
replied,21.0
grief,21.0
happy,21.0
house,21.0
My,21.0
Elizabeth,
existence,21.0
against,21.0
that,
monster,21.0
then,
rage,21.0
wind,20.0
fathers,20.0
hour,20.0
take,20.0
went,20.0
was,
let,20.0
tale,20.0
drew,20.0
future,20.0
hand,20.0
entirely,20.0
pleasure,20.0
different,20.0
mountains,20.0
longer,20.0
room,20.0
Justine,
beauty,19.0
just,19.0
sight,19.0
sufficient,19.0
life,19.0
spirits,19.0
between,19.0
easily,19.0
girl,19.0
sensations,19.0
manner,19.0
wished,19.0
you,19.0
received,19.0
sound,19.0
leave,19.0
morning,19.0
free,19.0
allowed,19.0
unable,19.0
dared,19.0
use,18.0
set,18.0
man,18.0
child,18.0
which,
night,
body,18.0
science,18.0
appear,18.0
look,18.0
surrounded,18.0
observed,18.0
he,
tears,18.0
spoke,18.0
You,18.0
suffered,18.0
form,18.0
companion,18.0
learned,18.0
formed,18.0
death,18.0
covered,18.0
delight,18.0
sank,18.0
thy,18.0
copyright,18.0
itself,17.0
discover,17.0
These,17.0
acquainted,17.0
letter,17.0
continually,17.0
them,17.0
degree,17.0
way,17.0
rest,17.0
enter,17.0
On,17.0
small,17.0
across,17.0
feeling,17.0
